65536     57005     47692     34834     28652     29654     37524     35244     26703     28123     36134     35879     35725     34314     34419     34602     34482     
131072    89327     80342     75952     51246     63530     64747     58433     60999     59666     59545     58981     59181     58193     57477     56486     56821     
196608    117361    104575    101061    96454     72775     86086     85100     80633     81346     79722     79035     71449     75633     76618     73572     75243     
262144    148818    115630    117275    110787    107766    86895     104141    95530     97673     96234     80450     93472     93705     78597     91410     91161     
327680    179067    128524    137050    131143    130663    128165    121468    121330    113223    101094    111389    110123    97408     108095    107095    94722     
393216    214027    162480    135510    143208    145785    146021    144616    135927    135005    130503    129474    126551    126575    124124    123529    120513    
458752    243414    180430    161407    166420    165239    161841    159515    155165    152909    148918    148287    141867    142244    141321    139208    140326    
524288    275790    207456    172476    176396    183499    181034    176068    175484    170658    163365    161700    158890    157653    155764    153303    152685    
589824    315416    225932    201219    207668    203754    186432    194172    191059    187986    184707    177957    176791    173342    171600    170740    168691    
655360    342792    249271    214922    223364    217197    212227    207587    203156    202755    190196    178647    194385    191811    187413    184936    184508    
720896    385889    270517    228051    238229    232431    227941    224271    218810    218770    215471    209602    209307    206668    200028    198516    192214    
786432    419220    300197    260396    259450    252750    237998    241061    236343    230184    230895    228324    227321    224908    218326    216812    213512    
851968    438974    316864    282327    272192    262884    254160    252975    249308    246429    246246    240025    243104    237236    234400    233183    228649    
917504    485161    335743    301055    279143    260805    252976    244837    253956    250878    255663    250818    252841    253609    250442    244945    245500    
983040    546205    363492    314113    303774    298689    285012    279426    278362    272192    271753    271729    270859    266143    264429    263867    261517    
1048576   600229    380097    341731    327959    315555    303671    297187    294179    290010    282193    271462    267250    263070    259269    258325    258504    
1114112   679355    415726    362989    338143    326774    308918    290448    292105    286307    293606    296645    301540    293838    294328    293231    290591    
1179648   666411    413674    377821    358801    342794    323867    310808    326014    317236    317051    309563    323802    300662    296938    303526    304088    
1245184   754308    456282    383741    373472    357546    345938    351540    333726    326462    326868    325214    324784    317457    313968    313236    311337    
1310720   798762    479688    411862    392383    370376    361703    357949    347024    346314    338179    336472    336857    331776    327318    336032    329440    
1376256   858057    507386    438581    408909    389229    379012    361416    362238    357873    356157    349820    350091    349423    342803    342561    340887    
1441792   909465    526697    450853    425004    408260    391297    382777    377490    372683    369696    364208    359852    360214    358045    355839    358508    
1507328   918126    558385    469308    443478    420986    597853    396925    390024    387651    397457    378546    375920    376117    371138    372150    370321    
1572864   905533    658679    520066    465497    440437    425297    415682    406038    400482    397860    395682    392059    388349    386808    386342    385264    
1638400   981926    601053    509390    479455    457868    440123    435735    420310    416841    415554    412477    406436    407522    403810    400015    397904    
1703936   1094136   636141    519384    494535    468805    458447    445293    437502    429295    429425    420299    420480    417796    419582    411100    412457    
1769472   1106706   650160    549363    514127    490578    473464    459184    452087    446187    441300    438759    436154    429991    433502    426932    425202    
1835008   1217505   692258    570479    536503    505704    489157    475596    467631    462713    456785    452672    449592    455276    441684    443989    461955    
1900544   1306580   750919    610218    545364    536663    517685    503572    491910    479389    474930    469542    469452    460185    458471    460546    459842    
1966080   1310900   747045    623126    566490    547713    527530    510572    500961    493120    484753    482889    475915    471820    479127    471014    470355    
2031616   1381831   757954    632658    584988    556961    536447    527461    513006    504563    500764    497591    493449    488244    487975    483346    480443    
2097152   1378521   799936    646794    601979    611130    556746    541201    530432    522343    511797    515898    512052    496518    505077    497013    497104    
    
