1024   2389   1842   1406   894    1136   734    1229   1153   1177   1230   1141   1223   1156   1040   1140   1121   
2048   3745   2935   2356   2336   1435   1667   1747   1990   1818   1827   1826   1446   1014   1447   1891   1926   
3072   4365   4365   3866   3249   3085   3208   2774   2804   2728   2780   2753   2312   2487   2321   2388   2343   
4096   8154   5339   2404   4187   4047   3864   3858   3787   3212   2389   2909   3419   1329   1403   3458   3278   
5120   9700   6775   5543   5297   4925   4479   4408   4099   4261   2846   4118   4086   3973   4018   4063   3997   
6144   11144  7456   6427   6123   4752   5726   5100   5123   4806   3280   4719   4765   4642   4565   4597   2170   
7168   10543  8646   7280   7005   6307   5914   5942   5514   5706   5334   5585   5244   5603   5255   5294   4375   
8192   15006  10101  8296   7325   7072   3241   6306   6697   6028   6397   6052   5879   5717   6201   6036   5034   
9216   16399  10541  9113   8663   8086   8104   7559   7315   7269   6902   6863   3419   5005   6913   6811   6469   
10240  18461  12249  10685  9247   8557   8129   7506   8338   7826   7854   6940   7616   6972   7137   7422   6797   
11264  19793  7618   10865  9712   9798   8618   8454   8340   8387   8520   7899   7862   7997   8092   7696   7895   
12288  17966  14039  12079  9341   10284  10139  8936   4559   7742   8838   8690   8989   8114   8789   8727   7783   
13312  22901  15342  13113  12228  10237  10096  10184  9789   9283   9739   8768   9425   9057   5786   8956   8588   
14336  24617  16800  13945  12949  11835  10906  10934  10007  10600  9713   10191  10048  9959   9735   9304   9332   
15360  26709  18079  8462   12215  12067  11854  11377  10886  10635  10845  10113  10377  10437  10518  10719  9758   
16384  25494  18882  15979  14080  13257  12385  12133  11774  8691   11011  11258  9562   10320  9985   10706  11270  
17408  28216  20218  15879  15054  13785  12884  13092  12124  12340  11564  12192  11508  11765  7100   10901  10998  
18432  29457  21031  16918  16137  14674  13491  13138  12376  12836  12557  12501  11985  12174  12005  11755  12064  
19456  30866  22036  11115  14969  15514  14763  14070  13756  12706  13286  13088  12516  12640  12486  12806  12307  
20480  31966  23054  19173  17533  16507  15459  15012  7659   12698  14014  14129  13443  13406  13072  13114  12513  
21504  33077  24099  20168  18500  16155  16374  15650  14270  14462  14322  14205  14038  6542   12701  13582  12947  
22528  34755  23882  20861  18942  17315  16668  16328  15870  15170  14976  14249  14074  14354  14478  14020  13426  
23552  35543  15307  19608  19564  18158  17333  17098  15432  16193  15380  14489  14842  15196  14957  10714  8957   
24576  30565  23890  21143  20290  17816  18160  8854   16237  16341  15583  16133  16206  15929  15650  15706  14885  
25600  38704  28111  22917  21035  19146  18439  17941  17590  16997  16758  17144  8675   14090  16251  16166  15869  
26624  40338  27453  24245  21287  20315  19009  18238  18068  17447  17626  17370  17196  17075  16476  16591  15907  
27648  29836  26820  18353  22017  20148  19669  19209  17488  18168  17465  17710  17706  17478  17324  17211  17193  
28672  42092  30180  25553  23290  12040  19612  19993  19406  18875  17813  18339  18011  17917  17900  18149  16833  
29696  44120  31536  26020  24276  22369  20836  20499  20020  19283  13118  18552  17079  18277  18694  17971  17305  
30720  44799  32173  27623  25232  23210  21775  21664  20828  20363  19920  19823  19471  18512  9392   15968  17799  
31744  46174  33078  28603  25320  23584  22765  21908  21412  20809  19524  20236  19887  20059  19506  18741  18933  
32768  44811  28348  24835  26072  24348  23555  22318  22422  20525  20834  20938  20519  20490  19875  19816  20035  
33792  46698  32177  29436  26956  24458  24165  15676  23104  22002  22063  20739  21013  20404  20684  20499  20589  
34816  47725  35546  30510  27092  25437  22439  22953  23160  21836  21985  14574  20261  18903  20669  20886  20740  
