256     72  298 367 441 440 509 577 579 620 608 658
512     55  174 273 317 339 353 403 435 437 486 484
768     52  117 186 216 268 287 320 309 345 362 377
1024    51  150 215 245 229 258 280 343 314 365 403
1280    47  114 149 177 191 228 257 274 285 328 345
1536    48  133 160 144 185 208 241 278 291 315 334
1792    51  125 129 163 193 197 236 279 282 317 350
2048    47  101 147 153 192 200 265 266 302 309 334
