1024       7986000   
2048       7903000   
3072       7779000   
4096       9908000   
5120       9329000   
6144       10087000  
7168       9812000   
8192       16309000  
9216       11500000  
10240      15304000  
11264      29571000  
12288      15301000  
13312      15688000  
14336      15818000  
15360      19023000  
16384      18038000  
17408      17186000  
18432      20844000  
19456      20099000  
20480      20278000  
21504      21542000  
22528      21294000  
23552      23193000  
24576      49989000  
25600      23866000  
26624      29490000  
27648      24151000  
28672      30504000  
29696      27711000  
30720      28714000  
31744      27826000  
32768      28164000  
