1024       7007000
2048       10124000
3072       11627000
4096       12623000
5120       14010000
6144       11028000
7168       10643000
8192       9584000
9216       16470000
10240      20190000
11264      24257000
12288      25366000
13312      19434000
14336      17296000
15360      22838000
16384      20639000
17408      21853000
18432      20265000
19456      22835000
20480      22957000
21504      21645000
22528      25877000
23552      26312000
24576      32346000
25600      32237000
26624      23041000
27648      25474000
28672      30764000
29696      27256000
30720      27226000
31744      26900000
32768      30052000
