1024       7825000    3911000    4013000    4374000    4420000    3688000    3996000    3825000   
2048       5491000    4492000    4242000    3618000    4338000    5827000    3985000    3780000   
3072       18244000   4647000    4520000    4340000    4257000    4124000    3992000    4190000   
4096       6021000    5308000    5065000    3317000    3485000    4329000    4575000    4239000   
5120       5233000    5731000    4689000    2698000    3501000    6308000    4816000    4572000   
6144       5379000    11419000   5030000    5420000    6599000    4866000    4810000    5248000   
7168       9125000    6451000    5875000    3440000    5591000    4876000    5152000    5243000   
8192       9931000    8573000    5774000    5666000    5940000    5272000    5319000    5669000   
9216       10600000   8158000    5811000    12915000   7417000    5915000    5326000    5523000   
10240      12610000   8892000    6063000    5904000    6247000    6114000    5686000    5204000   
11264      12353000   8719000    6148000    6760000    6241000    6601000    6071000    5967000   
12288      13735000   9767000    7936000    6813000    7013000    7410000    5787000    6085000   
13312      13651000   9411000    8668000    8360000    7438000    6240000    6043000    5590000   
14336      12526000   11730000   9003000    7407000    7331000    7129000    6157000    5935000   
15360      14086000   11097000   8977000    7054000    7057000    6945000    6564000    6791000   
16384      16839000   12154000   8932000    8232000    6742000    9038000    6799000    8416000   
17408      20895000   9637000    9766000    9061000    6423000    6726000    7069000    6151000   
18432      18860000   12119000   9908000    11824000   6460000    6026000    7110000    7436000   
19456      17682000   12458000   6421000    10448000   7479000    6193000    7223000    6947000   
20480      17744000   12679000   9266000    10521000   9076000    7475000    7225000    9762000   
21504      17724000   13075000   11462000   11201000   9395000    8294000    7538000    7957000   
22528      18023000   13666000   10370000   11527000   10612000   6470000    7784000    8022000   
23552      18827000   13543000   10061000   11823000   10040000   4702000    8973000    7450000   
24576      20588000   15063000   11150000   8349000    9142000    11193000   9207000    10175000  
25600      19828000   15417000   12256000   10046000   10474000   10356000   8597000    8401000   
26624      19702000   16048000   12531000   11137000   11564000   9476000    8119000    8309000   
27648      19099000   15163000   11834000   10553000   8940000    6859000    8323000    8053000   
28672      21260000   15680000   12799000   9952000    7290000    13431000   10660000   8599000   
29696      20655000   14810000   14790000   10916000   5959000    25317000   9607000    8785000   
30720      23414000   16454000   13602000   11101000   5928000    15187000   10487000   8454000   
31744      21570000   15481000   14492000   22612000   6421000    11010000   13921000   9898000   
32768      28900000   17609000   12514000   13029000   6076000    12934000   11588000   10399000  
33792      25743000   18667000   11126000   13155000   6282000    11920000   11277000   11373000  
34816      22490000   14305000   12713000   13225000   6988000    11049000   11052000   11510000  
35840      24546000   24979000   13704000   12574000   11393000   11976000   12920000   11225000  
36864      25293000   20117000   15014000   12902000   11643000   15177000   13429000   11453000  
37888      26108000   19454000   18094000   13222000   9617000    11019000   11985000   11398000  
38912      24852000   19219000   15878000   12733000   11472000   11535000   11737000   12358000  
39936      25449000   18445000   16093000   12845000   12507000   13175000   11654000   11702000  
40960      27594000   20307000   15168000   13933000   13641000   12355000   8626000    11914000  
41984      29766000   20948000   14478000   14758000   12942000   12468000   12026000   12746000  
43008      27414000   18689000   14958000   14667000   13463000   13078000   12687000   11918000  
44032      27633000   21396000   15740000   14522000   13215000   12362000   12555000   11383000  
45056      30332000   19980000   15981000   15923000   18369000   11513000   12443000   13799000  
46080      24023000   22151000   16639000   14430000   14371000   15887000   11431000   11858000  
47104      31138000   21442000   18511000   13942000   15213000   12605000   13757000   11478000  
48128      28759000   20330000   17187000   14352000   14555000   13245000   9427000    12776000  
49152      32000000   20983000   17699000   15595000   13733000   14153000   13327000   12363000  
50176      32254000   21682000   18232000   15661000   15649000   15477000   12195000   11959000  
51200      32455000   23722000   16983000   18996000   14510000   15468000   27755000   11957000  
52224      32978000   26166000   18306000   16630000   15620000   18933000   12893000   12942000  
53248      35592000   24719000   17899000   16514000   14944000   15227000   13450000   13439000  
54272      42996000   22920000   19252000   16924000   14424000   14960000   15504000   12826000  
55296      35747000   23472000   17772000   16361000   15358000   14665000   13367000   10096000  
56320      34368000   22875000   18086000   16100000   15619000   15593000   14479000   8769000   
57344      37425000   23141000   16395000   16416000   14507000   15887000   17333000   12904000  
58368      36046000   23058000   15798000   16501000   15834000   11063000   16688000   13036000  
59392      40879000   23180000   16162000   16459000   16574000   16686000   15744000   12022000  
60416      40548000   25319000   20402000   16526000   14322000   16502000   15181000   14182000  
61440      41820000   24899000   21011000   17015000   19935000   16999000   15197000   13830000  
62464      40095000   25761000   22735000   19075000   17798000   16330000   17826000   14149000  
63488      39576000   25639000   28206000   16976000   18814000   18243000   16246000   14641000  
64512      40169000   25334000   63429000   18813000   16766000   17662000   16541000   14226000  
65536      40531000   27530000   22076000   20809000   17394000   15983000   15932000   15833000  
66560      39288000   28096000   24493000   17623000   20463000   17772000   17271000   17203000  
