1024       5042000
2048       3820000
3072       3579000
4096       5568000
5120       6654000
6144       6516000
7168       6085000
8192       7753000
9216       7419000
10240      6452000
11264      8937000
12288      8209000
13312      8157000
14336      8626000
15360      9739000
16384      8768000
17408      9822000
18432      9911000
19456      11866000
20480      9712000
21504      8734000
22528      11757000
23552      12395000
24576      12263000
25600      13924000
26624      12415000
27648      14185000
28672      12662000
29696      12523000
30720      16289000
31744      13404000
32768      14904000
33792      15657000
34816      12093000
35840      12887000
36864      16257000
37888      15933000
38912      16131000
39936      15479000
40960      17026000
41984      18423000
43008      17521000
44032      19639000
45056      17225000
46080      20362000
47104      18407000
48128      17845000
49152      19431000
50176      19193000
51200      18796000
52224      17718000
53248      19187000
54272      18555000
55296      19619000
56320      20436000
57344      24365000
58368      21251000
59392      18800000
60416      20881000
61440      22632000
62464      24830000
63488      27515000
64512      25455000
65536      18285000
