1024       106857000
2048       106008000
3072       105687000
4096       107996000
5120       111307000
6144       108733000
7168       127330000
8192       116718000
9216       118947000
10240      112935000
11264      115500000
12288      110014000
13312      129012000
14336      114607000
15360      116398000
16384      122041000
17408      123545000
18432      117047000
19456      125688000
20480      129700000
21504      117317000
22528      125687000
23552      118255000
24576      124479000
25600      121859000
26624      129995000
27648      129533000
28672      127178000
29696      129675000
30720      124605000
31744      125822000
32768      135349000
