1024       14525000
2048       9029000
3072       7683000
4096       10030000
5120       7038000
6144       12587000
7168       12039000
8192       15716000
9216       12932000
10240      19511000
11264      17452000
12288      18715000
13312      26291000
14336      18857000
15360      21465000
16384      19357000
17408      19904000
18432      21849000
19456      28418000
20480      24613000
21504      23380000
22528      22454000
23552      23802000
24576      24741000
25600      28391000
26624      28557000
27648      30651000
28672      28636000
29696      30989000
30720      36778000
31744      30098000
32768      36274000
