1024       7343000
2048       6896000
3072       12054000
4096       11157000
5120       9430000
6144       10432000
7168       11630000
8192       13952000
9216       9727000
10240      11724000
11264      12706000
12288      16815000
13312      11435000
14336      13401000
15360      19527000
16384      10482000
17408      11661000
18432      18064000
19456      21473000
20480      21171000
21504      22008000
22528      22793000
23552      20145000
24576      23364000
25600      18024000
26624      28042000
27648      27064000
28672      23536000
29696      24984000
30720      28117000
31744      29418000
32768      31833000
