1024       184291000
2048       182303000
3072       183573000
4096       182477000
5120       183407000
6144       183744000
7168       183831000
8192       189502000
9216       191980000
10240      191939000
11264      189316000
12288      191252000
13312      191686000
14336      195490000
15360      191570000
16384      196006000
17408      195559000
18432      196321000
19456      198076000
20480      196319000
21504      197088000
22528      197411000
23552      198700000
24576      202146000
25600      203193000
26624      202773000
27648      206914000
28672      206480000
29696      208394000
30720      202990000
31744      202813000
32768      206414000
