1024       31626000
2048       32161000
3072       31684000
4096       32036000
5120       32968000
6144       33441000
7168       33876000
8192       36806000
9216       40700000
10240      38820000
11264      40416000
12288      41230000
13312      38195000
14336      37914000
15360      40948000
16384      45598000
17408      45518000
18432      46613000
19456      47408000
20480      46241000
21504      46698000
22528      47034000
23552      47141000
24576      51319000
25600      48785000
26624      48474000
27648      51441000
28672      49888000
29696      48878000
30720      51625000
31744      51387000
32768      57488000
