1024       9845000
2048       11312000
3072       6596000
4096       9626000
5120       11316000
6144       12948000
7168       15941000
8192       19115000
9216       17681000
10240      18835000
11264      15480000
12288      25672000
13312      21173000
14336      18634000
15360      23460000
16384      26128000
17408      22314000
18432      20089000
19456      28283000
20480      29516000
21504      25241000
22528      34919000
23552      30202000
24576      31626000
25600      31212000
26624      27474000
27648      33395000
28672      27191000
29696      33726000
30720      36380000
31744      41479000
32768      31996000
