1024       7922000
2048       8363000
3072       7442000
4096       6027000
5120       5205000
6144       8690000
7168       8242000
8192       11023000
9216       9704000
10240      9511000
11264      9601000
12288      10529000
13312      10476000
14336      10309000
15360      11064000
16384      8639000
17408      12193000
18432      12387000
19456      12297000
20480      14571000
21504      14558000
22528      14206000
23552      16963000
24576      15882000
25600      15793000
26624      16280000
27648      15699000
28672      17565000
29696      15704000
30720      17925000
31744      18643000
32768      15621000
33792      18017000
34816      19009000
35840      20121000
36864      20442000
37888      20215000
38912      20563000
39936      21821000
40960      22068000
41984      21797000
43008      22063000
44032      21904000
45056      22980000
46080      25780000
47104      24551000
48128      27003000
49152      23863000
50176      23659000
51200      26238000
52224      17494000
53248      29332000
54272      27906000
55296      25988000
56320      25985000
57344      28282000
58368      26945000
59392      22984000
60416      29192000
61440      28565000
62464      29526000
63488      27712000
64512      28500000
65536      31065000
